Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,Sex_male,Social Activity_often,Social Activity_sometimes,Energy efficiency_Sometimes,Energy efficiency_Yes
3,2,0,0,0,0,-0.2197855552322582,0,-0.7251958771714248,3,-1.5196894394328635,1.6691215867737461,0.5368761195483234,-1.3589801685194234,1929,1,0,0,0,0,0,0,0,1,True,True,False,False,False
3,0,3,3,0,0,0.9293149968412542,3,-0.7212241516796573,2,0.4900830123728144,1.6691215867737461,-0.6877811041077181,-0.25960395145665854,2719,0,0,0,0,1,1,1,1,0,True,True,False,False,True
3,2,3,0,0,0,0.029416974133081825,3,-0.712197502834731,2,-1.5196894394328635,-0.16031492914918494,1.0811682189510086,0.977194292738952,2336,0,0,1,0,0,0,0,1,1,False,False,False,False,True
1,2,0,1,1,0,0.20939657867471628,0,-0.48725341361916935,0,0.9925261253242339,-1.708299673391665,0.6729491443989947,-1.221558141386578,1270,1,0,0,0,1,1,1,0,1,False,True,False,True,False
3,2,0,2,0,0,0.5555112027932441,0,-0.7298897345707864,2,0.9925261253242339,1.1062180434128444,-0.891890641383725,1.66430442840318,1803,1,0,0,0,0,0,1,0,1,False,True,False,False,True
1,3,1,3,0,0,1.2477404510302998,4,-0.7298897345707864,1,-1.5196894394328635,-0.7232184725100869,-0.21152551713036863,0.7023502384732607,1816,1,0,1,0,1,1,1,1,0,False,False,True,True,False
1,0,3,0,2,1,0.541666617828503,0,2.142028861930943,0,-1.5196894394328635,0.5433145000519424,1.2172412438016798,-0.3970259785895041,4638,0,0,1,1,0,0,0,1,1,True,False,True,False,False
0,0,3,0,2,5,1.4830983954308987,1,0.5685034352834025,0,-0.5148032135300246,0.5433145000519424,-1.1640366910850675,1.389460374137489,1909,0,1,0,1,0,0,0,0,1,False,True,False,True,False
1,3,0,2,1,0,1.4692538104661577,3,-0.5399690428735385,2,-1.0172463264814442,-1.4268479017112141,0.3327665822723165,-1.496402195652269,2021,0,0,0,1,0,0,0,1,0,True,False,True,False,True
1,0,2,2,1,0,-0.676656859068715,1,-0.16879324237017193,2,0.4900830123728144,-1.1453961300307633,-0.6877811041077181,1.5268824012703344,1896,0,1,0,0,0,0,1,1,0,True,False,False,False,False
3,3,1,3,0,0,0.19555199370997517,3,-0.705337249712587,0,-0.01236010057860512,-0.16031492914918494,-0.27956202955570425,-1.221558141386578,1770,0,0,1,0,1,1,0,1,0,True,False,False,False,False
1,0,1,1,0,0,1.0677608464886652,0,-0.6981159306366461,0,-1.5196894394328635,-0.019589043308959476,1.4893872935030223,-1.221558141386578,1323,0,1,1,1,0,0,1,0,1,False,True,False,False,False
1,1,1,1,1,0,1.5384767352898632,4,-0.07636035819812734,0,-1.5196894394328635,1.2469439292530697,-0.07545249227969734,-0.3970259785895041,2269,0,0,0,1,1,1,0,0,0,False,False,False,False,True
3,3,2,1,1,0,0.8324029020880663,0,-0.6457613673360739,3,-0.01236010057860512,1.1062180434128444,0.7409856568243304,-0.9467140871208866,1918,1,1,0,1,1,1,0,1,1,True,False,False,False,True
2,3,1,2,1,0,-1.1473727478699127,4,-0.16084979138663685,0,1.4949692382756534,-0.5824925866698614,1.2172412438016798,-1.3589801685194234,2477,0,1,1,1,0,0,1,1,1,False,False,True,False,True
1,0,1,2,0,0,-0.7735689538219027,3,-0.7295286686169894,2,-0.5148032135300246,-0.8639443583503124,-1.0279636662343963,0.5649282113404152,1444,0,0,1,0,0,0,0,1,1,False,False,False,False,False
3,2,3,2,0,0,-1.3688861073057705,0,-0.7075036454353694,0,0.4900830123728144,0.40258861421171693,1.1492047313763443,0.5649282113404152,1254,1,0,1,1,1,1,0,0,1,False,False,False,True,False
2,2,2,3,1,0,-0.5520555943860449,0,-0.31574708556557096,0,0.4900830123728144,0.9654921575726189,0.6729491443989947,-0.25960395145665854,1411,1,0,0,0,1,1,0,1,0,True,False,False,False,False
0,1,1,1,1,0,1.4969429803956398,0,-0.235229377868829,3,-0.01236010057860512,-0.7232184725100869,-0.9599271538090607,-0.5344480057223497,1605,1,0,0,1,1,1,0,0,0,True,True,False,False,False
3,2,0,3,2,2,-0.8843256335398316,0,1.348044829531232,1,0.4900830123728144,-0.7232184725100869,-1.5722557656370815,0.8397722656061064,3054,0,0,1,0,0,0,0,1,1,True,True,False,False,False
2,2,0,2,0,0,0.38937618321635076,4,-0.7002823263594283,3,0.9925261253242339,-0.44176670082963587,-0.6197445916823825,0.2900841570747239,2902,0,0,0,0,1,1,0,0,0,False,False,False,False,True
2,1,0,3,2,2,-1.6319332216358517,3,2.0817308476468357,2,1.4949692382756534,1.3876698150932953,-1.1640366910850675,0.42750618420756953,4301,1,0,0,1,0,0,0,1,1,True,False,False,False,True
1,3,3,3,0,0,0.6801124674759141,4,-0.7154470964189045,0,-0.5148032135300246,-0.019589043308959476,0.6729491443989947,1.389460374137489,2308,0,0,0,1,1,1,1,1,0,False,True,False,False,True
1,2,2,1,2,1,0.38937618321635076,3,2.0210717674089316,1,-1.5196894394328635,0.6840403858921679,0.809022169249666,-1.3589801685194234,4132,1,1,0,1,1,1,0,0,0,False,True,False,False,False
2,2,1,1,2,1,-0.8289472936808672,3,0.12114271852885858,1,-0.5148032135300246,-1.5675737875514397,1.0811682189510086,1.5268824012703344,2993,1,1,1,0,0,0,0,1,1,True,False,True,False,False
2,0,1,1,2,1,-0.4551434996328571,3,0.696320782927558,1,-1.5196894394328635,-0.7232184725100869,-0.27956202955570425,-1.496402195652269,3098,0,0,1,1,0,0,0,0,0,False,True,False,False,True
2,3,3,0,0,0,0.8600920720175486,1,-0.7183356240492809,3,-1.0172463264814442,0.9654921575726189,-0.6877811041077181,-0.25960395145665854,1364,0,1,0,1,0,0,0,0,0,False,False,True,False,True
1,0,1,0,2,2,-1.0919944080109483,1,1.597180337651196,2,-1.5196894394328635,0.40258861421171693,0.40080309469765213,0.2900841570747239,2941,1,0,1,1,1,1,1,0,1,False,False,True,False,True
2,2,2,3,0,0,1.040071676559183,3,-0.7186966900030779,2,-0.01236010057860512,-0.8639443583503124,-1.5722557656370815,-1.0841361142537322,1349,0,0,1,0,0,0,1,0,0,False,False,False,True,False
2,1,1,2,0,0,0.541666617828503,0,-0.7078647113891664,1,-1.5196894394328635,1.6691215867737461,-0.5517080792570468,0.5649282113404152,1038,1,0,0,1,0,0,1,0,0,False,True,False,False,True
3,2,3,1,0,0,-1.285818597517324,0,-0.719418821910672,1,1.4949692382756534,0.5433145000519424,0.40080309469765213,0.42750618420756953,1815,1,0,0,1,0,0,0,0,0,True,False,False,False,False
2,2,2,0,0,0,-1.1473727478699127,4,-0.7154470964189045,3,-1.5196894394328635,0.121136842531266,0.26473006984698083,1.66430442840318,2566,1,1,0,0,1,1,1,1,1,False,False,False,False,False
2,3,3,1,2,4,1.6215442450783097,4,2.4103008656021507,1,-0.5148032135300246,-1.4268479017112141,-0.14348900470503298,1.5268824012703344,2439,1,1,0,1,0,0,1,1,1,False,False,True,True,False
3,1,3,3,2,2,-1.438109032129476,4,-0.6732023798246497,0,-1.0172463264814442,-0.44176670082963587,-1.2320732035104032,1.1146163198717975,2056,0,1,0,1,0,0,0,1,1,False,False,True,False,True
2,1,2,2,1,0,-1.175061917799395,4,-0.5056677772628189,1,1.4949692382756534,-1.4268479017112141,-1.7083287904877527,0.8397722656061064,2299,1,1,1,1,1,1,1,0,0,False,True,False,True,False
2,3,3,3,1,0,-0.7320351989276794,1,-0.6634535990721293,2,0.9925261253242339,0.40258861421171693,-0.6197445916823825,0.8397722656061064,1492,0,1,0,1,1,1,0,0,1,True,False,False,True,False
0,0,1,0,0,0,0.3339978433573863,1,-0.7168913602340926,1,-1.5196894394328635,-0.019589043308959476,1.3533142686523512,0.7023502384732607,1692,1,0,1,1,0,0,1,1,0,False,True,False,False,False
3,2,2,1,0,0,0.8324029020880663,3,-0.720140953818266,3,-0.5148032135300246,0.40258861421171693,0.26473006984698083,-1.221558141386578,2581,0,0,1,0,1,1,1,0,0,True,False,False,False,True
2,2,0,1,0,0,-1.2442848426231006,1,-0.7223073495410484,2,-1.0172463264814442,-1.708299673391665,-1.640292278062417,-1.496402195652269,950,1,1,0,0,1,1,0,0,0,True,False,True,True,False
1,3,3,0,2,2,0.1124844839215285,0,0.30636955282674483,0,0.4900830123728144,-0.30104081498941043,-1.096000178659732,-1.496402195652269,1923,1,0,1,1,1,1,1,1,0,True,True,False,True,False
2,1,0,1,0,0,1.400030885642452,0,-0.7313339983859746,3,-1.0172463264814442,0.9654921575726189,1.6254603183536935,0.977194292738952,1751,0,0,1,0,0,0,0,0,1,False,True,False,False,True
0,1,2,0,0,0,0.7493353922996197,4,-0.7190577559568749,0,0.9925261253242339,-1.5675737875514397,0.6729491443989947,-0.6718700328551954,2562,1,0,0,0,0,0,1,0,1,False,False,True,True,False
2,3,2,1,0,0,-0.4689880845975982,3,-0.7331393281549599,2,0.9925261253242339,-0.44176670082963587,-0.07545249227969734,1.66430442840318,2456,0,0,1,1,1,1,1,1,0,True,False,False,False,False
2,2,2,3,1,0,0.8047137321585841,0,-0.2493109500669139,3,-1.5196894394328635,1.3876698150932953,-1.1640366910850675,-1.496402195652269,657,1,1,0,1,0,0,0,1,1,False,False,True,True,False
1,1,3,3,1,0,-0.8151027087161261,4,-0.5916014742665165,0,-0.5148032135300246,1.2469439292530697,-0.8238541289583894,-0.3970259785895041,1758,0,1,1,0,0,0,1,0,1,False,True,False,False,False
3,3,1,2,1,0,-0.23363014019699932,3,-0.6645367969335205,1,-0.01236010057860512,-1.4268479017112141,1.2852777562270155,0.0152401028090327,2184,1,0,0,1,0,0,1,0,0,False,False,False,True,False
3,1,3,0,1,0,-0.24747472516174043,4,-0.6862007541613434,3,-1.5196894394328635,0.26186272837149144,-0.3475985419810399,1.5268824012703344,3009,1,0,1,0,1,1,1,1,1,False,False,True,False,False
0,0,1,1,2,3,1.0816054314534065,4,-0.22114780567074407,2,0.4900830123728144,-0.5824925866698614,1.2172412438016798,1.1146163198717975,3748,1,0,0,1,1,1,0,1,0,True,True,False,False,True
1,3,1,3,2,4,-0.16440721537329375,1,2.573502676718417,0,1.4949692382756534,-1.4268479017112141,0.06062053257097393,0.5649282113404152,1122,0,0,0,0,0,0,1,0,0,False,False,False,False,False
3,2,1,1,2,5,-0.39976515977389265,0,2.1608042915283896,0,-0.5148032135300246,1.2469439292530697,-0.7558176165330537,0.5649282113404152,2810,0,1,0,1,0,0,1,1,0,True,False,False,False,False
2,0,1,3,0,0,0.5555112027932441,0,-0.7020876561284136,1,-0.5148032135300246,1.6691215867737461,0.4688396071229878,1.5268824012703344,1346,0,0,0,1,0,0,1,0,0,False,False,False,False,False
0,3,3,2,0,0,-0.6628122741039738,1,-0.7324171962473658,0,0.4900830123728144,0.40258861421171693,-1.5042192532117458,0.0152401028090327,671,0,1,1,1,0,0,0,1,1,False,False,False,False,True
0,0,3,1,0,0,-1.1473727478699127,3,-0.7288065367093952,3,-1.5196894394328635,0.9654921575726189,1.2852777562270155,0.5649282113404152,1695,1,0,1,0,0,0,1,0,0,False,True,False,False,True
1,0,2,3,0,0,0.4309099381105741,0,-0.7067815135277753,2,-0.5148032135300246,-0.8639443583503124,-1.5722557656370815,0.977194292738952,810,0,1,0,1,0,0,1,1,0,False,False,False,False,False
0,1,3,1,2,5,1.5384767352898632,3,2.062233286141795,3,-0.5148032135300246,-1.5675737875514397,0.5368761195483234,-1.0841361142537322,2768,0,0,1,0,1,1,0,1,1,False,False,False,False,True
0,3,2,2,1,0,0.05710614406256405,0,-0.37496190198828705,2,1.4949692382756534,-0.16031492914918494,-1.5722557656370815,0.1526621299418783,1033,1,0,1,1,0,0,1,0,0,False,False,False,True,False
3,0,3,0,1,0,0.8600920720175486,1,-0.012451684376049623,2,-0.01236010057860512,-0.8639443583503124,-0.5517080792570468,-0.809292059988041,2046,1,0,1,1,1,1,0,1,0,False,False,True,False,False
3,0,2,0,2,4,1.5523213202546042,1,0.248960066173014,0,0.9925261253242339,1.5283957009335207,0.3327665822723165,1.389460374137489,2171,1,1,0,0,1,1,1,1,1,False,False,False,False,False
1,2,1,0,0,0,-0.9120148034693139,1,-0.7316950643397716,1,1.4949692382756534,1.2469439292530697,-1.7083287904877527,-1.0841361142537322,1312,0,0,1,1,0,0,1,1,1,False,True,False,False,True
3,3,3,1,1,0,-1.3550415223410295,1,-0.3937373315857336,2,-1.5196894394328635,1.6691215867737461,-1.5042192532117458,0.8397722656061064,1209,0,1,0,1,0,0,0,1,1,True,False,True,False,False
0,3,2,0,2,3,1.3308079608187464,3,2.449295988612232,0,-1.0172463264814442,-0.7232184725100869,0.809022169249666,-0.3970259785895041,4017,0,1,0,0,0,0,1,0,0,True,False,True,True,False
1,1,2,1,2,4,-0.38592057480915154,1,0.44935167053037633,3,-1.5196894394328635,0.121136842531266,-1.0279636662343963,-0.25960395145665854,877,1,1,1,1,0,0,1,0,1,False,True,False,False,False
3,3,3,3,2,5,0.6524232975464319,0,0.46126684700567894,1,0.4900830123728144,-0.5824925866698614,-0.6197445916823825,1.1146163198717975,1856,0,0,1,0,0,0,1,0,0,True,False,True,False,True
3,1,2,1,2,5,0.7770245622291019,0,0.21357560270090317,1,-1.0172463264814442,1.1062180434128444,0.40080309469765213,0.0152401028090327,2197,1,1,0,0,0,0,1,0,0,True,True,False,False,False
3,0,3,3,2,3,1.6769225849372742,4,2.124336630194888,2,-1.5196894394328635,0.40258861421171693,-1.0279636662343963,0.8397722656061064,4281,0,0,1,1,0,0,0,1,1,False,True,False,True,False
0,3,0,3,2,2,0.043261559097822935,3,2.47890339682359,0,-0.5148032135300246,0.6840403858921679,-1.5042192532117458,1.66430442840318,3480,1,0,0,0,1,1,0,1,0,True,False,True,False,True
0,2,3,2,0,0,0.20939657867471628,0,-0.726640140986613,1,-1.5196894394328635,1.3876698150932953,0.7409856568243304,-0.6718700328551954,953,1,1,1,0,0,0,1,1,1,False,True,False,True,False
